Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,TiO2,MnO,P2O5,LOI,Stratigraphic Unit,Stratigraphic Age,Reference,interpreted_age,Age Reference,Notes,,In CMIBS,Age in SGP?
KN6,60.2,18.4,6,3.2,0.8,0.4,5.2,0.9,0.01,0.2,4.49,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KN59d,61.5,18.7,4.4,3.5,0.7,0.4,5.1,0.9,0.01,0.3,4.31,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KCha113,57.6,19.5,9,2.5,0.9,0.3,5.1,0.8,0.03,0.2,4.11,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KN80,60.1,18.2,7.7,3,0.6,0.3,5.1,0.8,0.01,0.3,3.86,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KCha51,57.3,21.5,6.5,2.6,1.1,0.4,5,1.1,0.03,0.3,4.13,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KS117,60.1,18.1,7.6,2.9,1,0.4,5,0.7,0.01,0.2,3.89,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KS67,61.14,17.8,6.4,3.1,0.7,0.3,4.9,0.6,0.02,0.2,4.37,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KCha57,59.3,19.9,6.5,2.4,1.1,0.4,4.8,0.8,0.03,0.2,4.56,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KN3-7,64.6,16.6,5.8,2.6,1.4,0.3,4.8,0.8,0.009,0.3,2.58,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KS45b,60,19.7,6.8,2.4,0.9,0.3,4.7,0.9,0.01,0.2,3.87,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KS48a,59.8,17.9,5.5,3,0.9,1.6,4.6,0.8,0.1,0.2,5.35,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KS49,60.1,18.5,6.9,3.2,1,0.4,4.6,1,0.02,0.2,4.11,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KCha119,61,18.5,6.9,2.7,1.2,0.5,4.4,1,0.02,0.3,3.53,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KS85,63.7,16.6,6.9,2.6,1.1,0.3,4.4,0.8,0.01,0.2,3.27,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KCha105,63.4,19.4,5.1,1.4,1.4,0.7,4.3,0.9,0.02,0.3,3.05,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KCha114,63.2,18.8,6.9,2.6,1.2,0.5,4.3,0.9,0.02,0.3,1.32,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KS78,61.1,18,7.5,2.8,1.2,0.4,4.3,0.9,0.03,0.3,3.4,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KCha109,61.9,18.4,6,2.6,1.2,0.5,4.2,0.9,0.04,0.3,3.77,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KCha102,60.9,18.2,6.8,1.8,1.5,0.4,4.2,0.8,0.06,0.3,4.84,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KS124,63.6,16.8,6.1,2.7,1.3,0.4,4.2,0.9,0.02,0.3,3.53,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KS146a1,62.2,17.2,6.8,3,1.3,0.4,4.2,0.9,0.01,0.3,3.67,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KCha110,62.5,18.2,6.3,2.5,1.3,0.3,4.2,0.8,0.02,0.3,3.41,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KS46,57.3,18.7,8.4,2.6,0.9,0.3,4.2,0.9,0.01,0.2,6.22,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KN3,64.8,15.6,6.8,3.1,0.8,0.3,4.2,0.8,0.01,0.3,3.2,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KS82,65.9,16.5,5.6,2.4,1.6,0.2,4.2,0.7,0.02,0.2,2.62,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KCha101,61.8,18,6.5,2.9,1.1,0.4,4.1,0.9,0.03,0.3,3.9,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KCha85,59.9,20.4,6.9,2.1,1.6,0.4,4,1,0.02,0.3,3.38,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KS43a,60,17.6,9.3,2.4,1,0.4,4,0.9,0.02,0.2,4.18,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KS66,60.8,15.8,5,3.4,1.1,2.4,3.9,0.6,0.11,0.3,6.22,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KCha83,60.3,20.2,6.6,1.9,1.5,0.6,3.9,0.9,0.02,0.2,3.61,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KCha104,61.2,18.4,6.9,2,1.5,0.9,3.8,0.9,0.06,0.3,3.82,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KCha118,61.8,18.5,6.9,2.1,1.4,0.7,3.8,0.9,0.03,0.3,3.55,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KN84,64.8,15.7,7,2.9,0.7,0.4,3.8,0.7,0.01,0.3,3.42,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KS75b,64.1,16.3,6.9,2.8,1,0.3,3.8,0.7,0.02,0.3,3.7,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KN28,67.8,13.8,5.7,3.2,0.2,0.3,3.8,0.7,0.01,0.3,3.94,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KS97,66.3,15.9,5.1,2.5,1.8,0.5,3.7,0.8,0.03,0.4,2.97,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KS102,64.1,17,5.5,3.1,1.4,0.4,3.7,0.7,0.02,0.2,3.72,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KS38,58.8,19,7.8,3.4,1,0.4,3.7,0.8,0.03,0.3,4.7,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
Kcha16,62.8,18,6.5,2.5,1.6,0.4,3.6,0.9,0.02,0.3,3.41,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KN76,66.5,14.5,7.6,2.6,0.6,0.4,3.6,0.7,0.01,0.3,3.03,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KCha86,62.2,18.7,7.1,1.9,1.6,0.5,3.5,0.9,0.02,0.3,3.13,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KS44,62,18.1,7,3.1,1.4,0.3,3.1,0.8,0.03,0.2,3.91,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KS145,67.8,16,3.7,3.3,3.6,0.6,1.4,0.8,0.04,0.3,2.59,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KS128,60.09,15.2,9.8,5,1.8,0.5,1.4,0.7,0.01,0.3,4.29,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KGRW5 S4,67.28,15.05,4.2,1.98,0.99,3.6,4.22,0.51,0.06,,2.09,Kumbalgarh Group,,Fatima and Khan 2011,1600,Choudhary et al 1984,,,N,N
KGRW1 B18,73.52,13.43,3.96,0.87,3.95,2.58,0.92,0.34,0.06,,1.3,Kumbalgarh Group,,Fatima and Khan 2011,1600,Choudhary et al 1984,,,N,N
KGRW3 Q4,70.13,16.57,4.25,1.28,3.05,2.77,0.09,0.31,0.04,,0.15,Kumbalgarh Group,,Fatima and Khan 2011,1600,Choudhary et al 1984,,,N,N
KGRW2 Q3,62.48,17.98,9.7,1.98,3.12,3.82,0.08,0.58,0.19,,0.9,Kumbalgarh Group,,Fatima and Khan 2011,1600,Choudhary et al 1984,,,N,N
KGRW4 Q5,70.63,17.45,5.17,1.13,3.73,2.23,0.03,0.32,0.04,,0.42,Kumbalgarh Group,,Fatima and Khan 2011,1600,Choudhary et al 1984,,,N,N
813-X!,51.4,24.9,7.22,3.36,1.82,0.27,5.24,1.05,0.04,0.2,4.16, Beatty Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
TB2,60.5,17.7,5.45,3.22,1.55,1.45,5.22,0.58,0.06,0.13,2.31,Kewagama Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
813-13,49.1,25,8.29,4.09,1.35,0.87,5.17,1.08,0.09,0.2,4.77,Dome Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
GY-9,55,21,7.23,3.28,2.21,0.38,4.53,0.85,0.06,0.18,5.7,TNL Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
723--20,57.9,20.7,5.99,3.14,2.34,1.4,4.13,0.89,0.09,0.18,3.16,Matachewan Sediments,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
GY-22,60.5,19.6,6.05,2.25,2.42,0.95,4.07,0.81,0.04,0.22,3.39,TNL Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
GY-4,58,20.6,7.32,3.14,1.7,0.25,3.97,0.81,0.03,0.18,3.7,TNL Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
723-17,59.5,19.5,6.57,2.93,1.93,1.94,3.9,0.82,0.07,0.16,2.93,Matachewan Sediments,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
8134,61.8,17,6.87,3.43,1.69,0.92,3.77,0.78,0.11,0.17,3.62, Beatty Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
813-14,55.9,21.7,6.82,3.26,2.74,0.87,3.72,0.86,0.07,0.2,3.62,Dome Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
GY-31,62.4,18,6.24,2.47,2.4,0.89,3.45,0.7,0.04,0.21,3.54,TNL Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Taylor et al 1984,,,Y,N
813-7,58.2,18.1,6.91,4.13,2.9,1.04,3.22,0.81,0.1,0.18,3.62, Beatty Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
GY-20,63.7,17.7,6.66,2.13,2.76,0.33,3.12,0.66,0.03,0.21,2.85,TNL Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
723-20,61.3,18.7,5.67,2.86,2.96,2.16,3.08,0.79,0.09,0.17,2.54,Matachewan Sediments,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
GY-7,61,15.4,8.05,2.91,1.34,1.76,2.85,0.65,0.09,0.14,4.85,TNL Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
723-14,62.3,17.9,5.8,2.7,2.86,2.26,2.67,0.73,0.07,0.16,2.31,Matachewan Sediments,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
813-2,64.9,15.1,7.43,3.46,1.99,0.75,2.63,0.59,0.12,0.15,3.23, Beatty Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
s4-5,57.2,16.8,8.58,6.69,1.72,0.99,2.62,0.76,0.12,0.11,4.62,Larder Lake Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
S4-2,58.4,16.6,8.7,6.68,1.54,0.46,2.56,0.74,0.11,0.11,4.47,Larder Lake Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
813-31,56.5,19.3,8.38,3.77,3.49,0.37,2.54,0.76,0.05,0.19,3.93, Beatty Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
S4-1,56.1,16.6,9.01,6.74,1.54,1.14,2.52,0.77,0.12,0.11,5.08,Larder Lake Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
S44,56.4,16.8,9.04,6.76,1.83,1.22,2.43,0.75,0.12,0.11,4.7,Larder Lake Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
S4-18,52.8,15.8,9.05,9.81,2.3,1.59,2.4,0.7,0.12,0.1,5.31,Larder Lake Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
813-3,66.9,14.1,6.92,3.12,2,0.85,2.4,0.58,0.13,0.13,3.08, Beatty Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
813-15,69.1,15,4.93,2.41,2.38,0.58,2.3,0.57,0.06,0.12,2.54,Dome Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
TBl,61.2,17.3,5.01,2.25,4.46,3.63,2.25,0.57,0.06,0.14,0.93,Kewagama Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
813-17,67.6,15.3,5.2,2.52,2.7,0.55,2.25,0.64,0.06,0.14,2.93,Dome Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
TB6,65.3,15.4,5.22,2.75,2.49,1.84,2.24,0.57,0.06,0.12,2.16,Kewagama Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
813-6,65.3,15.1,6,3.16,3.04,1.53,2.2,0.6,0.09,0.14,2.93, Beatty Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
GY-11,66.3,15.6,6.01,2.88,2.9,0.44,2.2,0.57,0.03,0.15,2.85,TNL Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
813-5,64.5,15.9,5.98,3.2,3.57,1.53,2.15,0.67,0.09,0.15,2.47, Beatty Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
813-I,68.3,13.6,6.68,3,2.48,0.97,1.92,0.61,0.13,0.14,2.62, Beatty Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
DOU7,62,12.8,6,3.53,3.58,4.25,1.91,0.57,0.12,0.18,5,Timiskaming Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
TB7,63,16.1,3.72,2.29,4.6,4.48,1.82,0.48,0.06,0.35,1,Kewagama Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
813-30,66.7,16.1,5.4,2.64,4.08,0.19,1.77,0.59,0.04,0.11,2.31, Beatty Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
T-12,62.5,12.4,5.96,2.54,3.17,5.54,1.7,0.59,0.16,0.14,5.7,Timiskaming Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
TBll,65.8,15.3,4.82,2.51,5.14,1.11,1.68,0.55,0.07,0.13,1.77,Kewagama Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
813-32,67.6,14.3,5.73,2.59,3.5,0.7,1.62,0.53,0.07,0.11,2.85, Beatty Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
813-8,65.7,14.9,5.27,2.88,4.1,1.98,1.59,0.59,0.08,0.13,2.31, Beatty Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
T-5,60.7,13.1,6.23,3.55,4.33,5.05,1.41,0.63,0.16,0.18,4.77,Timiskaming Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
T-4,64.1,13.9,5.24,2.69,5.18,3.73,1.41,0.58,0.13,0.16,2.85,Timiskaming Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
TB8,65.2,15.5,5.02,2.42,4.16,2.65,1.35,0.52,0.08,0.12,1.39,Kewagama Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
T-l,61.9,14.2,5.74,2.8,4.89,3.96,1.31,0.61,0.11,0.16,4.47,Timiskaming Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
T-9,60.3,12.7,7.33,3.72,3.31,4.81,1.28,0.73,0.16,0.17,5.54,Timiskaming Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
T-13,62.6,13.2,4.52,2.25,4.96,5.11,1.21,0.51,0.17,0.14,5.77,Timiskaming Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
723-18,68.2,14.3,4.95,2.11,3.36,3.44,1.21,0.47,0.08,0.12,1.39,Matachewan Sediments,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
TBlO,67.5,16.4,2.53,1.32,4.61,4.1,1.05,0.37,0.04,0.14,0.23,Kewagama Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
s4-13,53.7,14.4,9.25,10.5,2.13,2.33,1.03,0.64,0.13,0.09,6.08,Larder Lake Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
T-8,62.3,12.5,6.24,3.1,3.94,4.73,1.01,0.61,0.16,0.15,5.16,Timiskaming Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
s4-14,55.1,14.3,9.09,10.2,2.28,1.95,0.94,0.68,0.12,0.09,5.7,Larder Lake Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
S4-14,55,14.3,9.09,10.2,2.28,1.95,0.94,0.68,0.12,0.09,5.7,Larder Lake Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
T-3,59.1,12.1,7.65,4.04,3.68,5.54,0.87,0.74,0.17,0.18,5,Timiskaming Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
s4-10,54,12,9.67,9.49,2.28,4.67,0.53,0.78,0.16,0.09,4.93,Larder Lake Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
813-19,55.8,13.5,8.17,8.12,2.06,4.12,0.51,0.48,0.12,0.12,7.23,Dome Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
S4-16,55.9,12.9,8.72,9.7,2.08,2.5,0.47,0.67,0.12,0.08,6,Larder Lake Group,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,N
813-21,58.7,17.3,6.99,6.04,6.01,0.33,0.06,0.65,0.09,0.15,3.47,Dome Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
813-20,54,14.7,10,11.5,1.56,0.33,0.05,0.58,0.1,0.16,6.08,Dome Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
813-22,54.3,14,6.49,6.12,4.27,0.23,0.04,0.5,0.07,0.13,13.9,Dome Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
GY-24,56.7,11.9,10.7,12.7,4.01,0.4,0.03,0.64,0.08,0.21,6.16,TNL Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
813-23,54.2,15.1,9.77,11.5,2,0.33,0.02,0.61,0.09,0.17,5.93,Dome Formation,Neoarchean,Feng & Kerrich 1990,2713.5,Feng & Kerrich 1990,,,Y,Y
L39-8,45.34,16.77,6.27,3.21,1.07,7.64,4.07,0.54,0.08,0.1,,Lunpola Oil Shale,Early Miocene,Fu et al 2012,19.5,Fu et al 2012,XRD shows calcite present,,N,N
L39-9,44.26,16.5,6.44,3.4,1.08,8.12,3.92,0.5,0.08,0.14,,Lunpola Oil Shale,Early Miocene,Fu et al 2012,19.5,Fu et al 2012,XRD shows calcite present,,N,N
L39-2,50.79,18.7,6.65,3.04,0.92,3.21,3.92,0.6,0.06,0.06,,Lunpola Oil Shale,Early Miocene,Fu et al 2012,19.5,Fu et al 2012,XRD shows calcite present,,N,N
L39-1,51.06,18.3,6.3,2.96,1.02,3.66,3.8,0.61,0.07,0.07,,Lunpola Oil Shale,Early Miocene,Fu et al 2012,19.5,Fu et al 2012,XRD shows calcite present,,N,N
L39-11,50.73,17.13,4.38,2.05,1.54,1.95,3.76,0.62,0.05,0.07,,Lunpola Oil Shale,Early Miocene,Fu et al 2012,19.5,Fu et al 2012,XRD shows calcite present,,N,N
L39-10,46.97,15.99,5.73,2.55,1.56,5.06,3.61,0.53,0.06,0.63,,Lunpola Oil Shale,Early Miocene,Fu et al 2012,19.5,Fu et al 2012,XRD shows calcite present,,N,N
L39-22,48.95,16.38,4.93,2.37,0.96,5.56,3.52,0.54,0.06,0.22,,Lunpola Oil Shale,Early Miocene,Fu et al 2012,19.5,Fu et al 2012,XRD shows calcite present,,N,N
L39-15,49.52,16.39,5.45,2.38,1.76,3.19,3.5,0.56,0.06,0.51,,Lunpola Oil Shale,Early Miocene,Fu et al 2012,19.5,Fu et al 2012,XRD shows calcite present,,N,N
L39-21,43.47,14.82,5.24,2.38,0.94,6.74,3.35,0.49,0.07,0.24,,Lunpola Oil Shale,Early Miocene,Fu et al 2012,19.5,Fu et al 2012,XRD shows calcite present,,N,N
L39-12,46.57,15.73,5.83,2.4,1.46,5.39,3.33,0.58,0.08,0.16,,Lunpola Oil Shale,Early Miocene,Fu et al 2012,19.5,Fu et al 2012,XRD shows calcite present,,N,N
L39-4,45.07,15.47,4.91,2.25,0.93,6.4,3.3,0.56,0.07,1.35,,Lunpola Oil Shale,Early Miocene,Fu et al 2012,19.5,Fu et al 2012,XRD shows calcite present,,N,N
L39-6,49.34,15.4,5.82,2.28,0.73,4.98,3.27,0.56,0.08,0.23,,Lunpola Oil Shale,Early Miocene,Fu et al 2012,19.5,Fu et al 2012,XRD shows calcite present,,N,N
L39-5,44.37,14.08,5.1,2.25,0.91,5.18,3.22,0.51,0.08,0.1,,Lunpola Oil Shale,Early Miocene,Fu et al 2012,19.5,Fu et al 2012,XRD shows calcite present,,N,N
L39-3,47.89,15.3,5.34,3.14,1.3,4.34,3.2,0.54,0.06,0.14,,Lunpola Oil Shale,Early Miocene,Fu et al 2012,19.5,Fu et al 2012,XRD shows calcite present,,N,N
L39-20,47.64,15.34,5.65,2.66,1.06,4.57,3.12,0.53,0.06,0.09,,Lunpola Oil Shale,Early Miocene,Fu et al 2012,19.5,Fu et al 2012,XRD shows calcite present,,N,N
L39-19,44.62,14.81,5.66,2.9,0.97,6.74,3.06,0.46,0.07,0.16,,Lunpola Oil Shale,Early Miocene,Fu et al 2012,19.5,Fu et al 2012,XRD shows calcite present,,N,N
L39-18,46.06,14.3,5.62,2.99,0.99,6.08,3,0.49,0.07,0.17,,Lunpola Oil Shale,Early Miocene,Fu et al 2012,19.5,Fu et al 2012,XRD shows calcite present,,N,N
L39-16,41.5,13.76,6.19,3,0.59,7.5,2.98,0.42,0.07,0.14,,Lunpola Oil Shale,Early Miocene,Fu et al 2012,19.5,Fu et al 2012,XRD shows calcite present,,N,N
L39-7,42.76,13.64,7.65,2.63,1.17,4.87,2.95,0.46,0.06,0.32,,Lunpola Oil Shale,Early Miocene,Fu et al 2012,19.5,Fu et al 2012,XRD shows calcite present,,N,N
L39-17,46.93,14.69,5.33,3.41,1.09,6.11,2.89,0.51,0.06,0.38,,Lunpola Oil Shale,Early Miocene,Fu et al 2012,19.5,Fu et al 2012,XRD shows calcite present,,N,N
CIA-22,64.58,15.83,6.26,2.36,2.81,0.74,3.22,0.747,0.064,0.17,3.24,Lower Aculdian,Ediacaran,Fuenlabrada et al 2016,588,Fuenlabrada et al 2016,,,N,N
CIA-23,66.93,15.53,5.19,1.93,3.08,0.47,3.21,0.699,0.051,0.16,2.69,Lower Aculdian,Ediacaran,Fuenlabrada et al 2016,588,Fuenlabrada et al 2016,,,N,N
CIA-21,66.31,14.79,5.47,2.02,2.96,1.29,2.95,0.629,0.066,0.15,3.16,Lower Aculdian,Ediacaran,Fuenlabrada et al 2016,588,Fuenlabrada et al 2016,,,N,N
CIA-24,70,13.27,4.53,1.5,3.44,1.45,2.39,0.763,0.065,0.15,2.89,Lower Aculdian,Ediacaran,Fuenlabrada et al 2016,588,Fuenlabrada et al 2016,,,N,N
CIA-13,71.18,13.15,4.92,1.91,2.89,0.27,1.92,0.723,0.035,0.17,2.24,Lower Aculdian,Ediacaran,Fuenlabrada et al 2016,588,Fuenlabrada et al 2016,,,N,N
CIA-19,70.38,13.71,5.28,1.73,2.99,0.38,1.9,0.753,0.044,0.14,2.37,Lower Aculdian,Ediacaran,Fuenlabrada et al 2016,588,Fuenlabrada et al 2016,,,N,N
CIA-14,71.4,13.48,5.03,1.86,3.25,0.59,1.85,0.841,0.047,0.2,2.36,Lower Aculdian,Ediacaran,Fuenlabrada et al 2016,588,Fuenlabrada et al 2016,,,N,N
CIA-15,71.3,13.05,4.99,1.97,2.97,0.48,1.85,0.745,0.046,0.18,2.4,Lower Aculdian,Ediacaran,Fuenlabrada et al 2016,588,Fuenlabrada et al 2016,,,N,N
